open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1724428800000,2669.46,2679.33,2661.62,2677.61,88552.232,1724432399999,236481082.2,131008,45772.802,122258075.7,0
1724432400000,2677.61,2730.8,2668.11,2725.99,355582.417,1724435999999,960671478.5,328214,198324.105,536018999,0
1724436000000,2725.99,2739.92,2711.06,2724.29,237597.344,1724439599999,647594076.3,267587,114767.086,312857446.3,0
1724439600000,2724.29,2749.22,2718.42,2744.58,178856.818,1724443199999,489902538.1,188522,98160.745,268911444,0
1724443200000,2744.58,2761.76,2743.8,2751.32,92750.699,1724446799999,255204847.5,127939,50255.304,138290956.8,0
1724446800000,2751.33,2781.12,2751.07,2771.08,126804.169,1724450399999,350940543.9,163190,67625.184,187183614.8,0
1724450400000,2771.08,2798.88,2743,2758.46,201044.753,1724453999999,558295367.1,229025,97195.264,270134742.6,0
1724454000000,2758.47,2768.44,2755.26,2761.58,77538.633,1724457599999,214253274.4,100208,40103.196,110818086.8,0
1724457600000,2761.58,2768.44,2751,2756.99,70981.864,1724461199999,195870588.7,97552,32826.308,90584234.81,0
1724461200000,2757,2757.13,2741.12,2751.97,70329.425,1724464799999,193280799.4,93176,34588.486,95053397.6,0
1724464800000,2751.97,2760.18,2749.44,2752.57,39682.119,1724468399999,109267285.4,60980,21140.354,58218922.6,0
1724468400000,2752.57,2753.66,2742.11,2745.58,33779.974,1724471999999,92853532.77,55868,16337.395,44912836.01,0
1724472000000,2745.57,2749.64,2742.2,2745,28428.66,1724475599999,78069564.76,46198,16085.318,44177612.94,0
1724475600000,2745,2754.6,2736.92,2754.57,53352.506,1724479199999,146552574.8,69923,26301.121,72268835.02,0
1724479200000,2754.57,2764.2,2751.77,2754.03,53891.095,1724482799999,148590340.4,84484,28732.357,79227100.68,0
1724482800000,2754.02,2761.27,2753.61,2757.23,36524.35,1724486399999,100720188.9,59152,19890.108,54849613.83,0
1724486400000,2757.23,2779.7,2753.66,2774.98,93467.883,1724489999999,258638235.5,98320,55332.192,153142087.4,0
1724490000000,2774.98,2785.78,2765.86,2773.49,78432.737,1724493599999,217552983.2,94997,41221.528,114367119.3,0
1724493600000,2773.49,2777.18,2763.15,2767.19,64151.87,1724497199999,177764790.4,82328,30416.936,84295817.35,0
1724497200000,2767.18,2770.35,2754.56,2755.35,78591.5,1724500799999,217110994.6,80860,34371.365,94940519.41,0
1724500800000,2755.36,2763.07,2750,2755.26,98946.773,1724504399999,272792160.4,101249,43576.667,120144860.5,0
1724504400000,2755.27,2762.76,2750.79,2757.64,48842.124,1724507999999,134620195.6,67374,22091.24,60894258.33,0
1724508000000,2757.63,2762.58,2750.01,2758.21,55952.245,1724511599999,154206755.6,69365,25349.347,69868570.94,0
1724511600000,2758.22,2762.63,2752.51,2759.79,43337.542,1724515199999,119527277.2,66512,18598.856,51303717.36,0
1724515200000,2759.79,2819.35,2758.64,2812.71,355924.575,1724518799999,996003561.1,318990,195732.263,547524640.2,0
1724518800000,2812.7,2812.92,2775,2781.79,202416.365,1724522399999,566078338,178081,80100.6,223997017.2,0
1724522400000,2781.79,2800.56,2769.2,2781.73,144440.796,1724525999999,402371774.9,155255,79145.364,220571571.3,0
1724526000000,2781.73,2799.23,2780.84,2791.25,44764.006,1724529599999,125000505.4,61246,20462.825,57137223.78,0
1724529600000,2791.25,2806.62,2787.82,2789.81,72726.57,1724533199999,203479507,76220,42617.28,119229655.9,0
1724533200000,2789.81,2790.72,2729.15,2737.65,195794.183,1724536799999,540197980.2,216674,72567.79,200371969.6,0
1724536800000,2737.63,2757.6,2735.19,2750.35,101671.758,1724540399999,279560126.9,134466,50889.438,139953488.3,0
1724540400000,2750.35,2769.94,2750.12,2766.4,57918.397,1724543999999,159876211.5,73110,34847.552,96219904.76,0
